,states,year,quarter,district,trans_counts,amount
11981,telangana,2020,4,rangareddy district,53405219,89256130453
11982,telangana,2020,4,hyderabad district,117008707,2.43045E+11
11983,telangana,2020,4,suryapet district,4322234,10332732241
11984,telangana,2020,4,jogulamba gadwal district,1815083,4716814931
11985,telangana,2020,4,kamareddy district,3045875,7470236115
11986,telangana,2020,4,mulugu district,1080109,2751716832
11987,telangana,2020,4,medchal malkajgiri district,49900746,81801106073
11988,telangana,2020,4,karimnagar district,6853847,15369367186
11989,telangana,2020,4,mancherial district,5086014,10978959291
11990,telangana,2020,4,siddipet district,5009319,11662960490
11991,telangana,2020,4,khammam district,7035947,16464448770
11992,telangana,2021,1,narayanpet district,1167125,3310846779
11993,telangana,2021,1,nalgonda district,8018559,19628854223
11994,telangana,2021,1,jangaon district,3112444,6973669289
11995,telangana,2021,1,bhadradri kothagudem district,5386614,13659056643
11996,telangana,2021,1,warangal rural district,3145714,7121440710
11997,telangana,2021,1,kumuram bheem asifabad district,1378555,3157992831
11998,telangana,2021,1,nizamabad district,5831809,14665519256
11999,telangana,2021,1,adilabad district,1676245,4215815167
12000,telangana,2021,1,rajanna sircilla district,2140974,5260861082
12001,telangana,2021,1,nagarkurnool district,3694212,10257144532
12002,telangana,2021,1,peddapalle district,5112755,10786831119
12003,telangana,2021,1,nirmal district,1744066,5096550372
12004,telangana,2021,1,mahabubabad district,2942202,6803110883
12005,telangana,2021,1,sangareddy district,12350347,23546322115
12006,telangana,2021,1,wanaparthy district,1880504,5057446529
12007,telangana,2021,1,vikarabad district,2667959,6288645225
12008,telangana,2021,1,jagtial district,3293619,8495922767
12009,telangana,2021,1,yadadri bhuvanagiri district,4682204,10482121487
12010,telangana,2021,1,medak district,2852487,6251716708
12011,telangana,2021,1,mahbubnagar district,4009637,9130053733
12012,telangana,2021,1,jaya shankar bhalupally district,2105785,5545124764
12013,telangana,2021,1,warangal urban district,13629397,28292658503
12014,telangana,2021,1,rangareddy district,60675056,98883148961
12015,telangana,2021,1,hyderabad district,169703372,3.16572E+11
12016,telangana,2021,1,suryapet district,4438459,11053139674
12017,telangana,2021,1,jogulamba gadwal district,1749281,4982989534
12018,telangana,2021,1,kamareddy district,2897037,7016072957
12019,telangana,2021,1,mulugu district,1158750,3293242509
12020,telangana,2021,1,medchal malkajgiri district,54854446,87516738646
12021,telangana,2021,1,karimnagar district,6934134,15385243677
12022,telangana,2021,1,mancherial district,5080342,11065632623
12023,telangana,2021,1,siddipet district,5117034,11905435424
12024,telangana,2021,1,khammam district,7140986,17657527187
12025,telangana,2021,2,narayanpet district,1654354,4363288457
12026,telangana,2021,2,nalgonda district,10161723,25305904142
12027,telangana,2021,2,jangaon district,4101984,9097534046
12028,telangana,2021,2,bhadradri kothagudem district,6854796,16726841231
12029,telangana,2021,2,warangal rural district,4096643,9608357754
12030,telangana,2021,2,kumuram bheem asifabad district,1750108,3616140632
12031,telangana,2021,2,nizamabad district,7753597,21755545090
12032,telangana,2021,2,adilabad district,2085591,4963034634
12033,telangana,2021,2,rajanna sircilla district,2831321,6928172011
12034,telangana,2021,2,nagarkurnool district,4876420,12210795742
12035,telangana,2021,2,peddapalle district,6670402,14414394127
12036,telangana,2021,2,nirmal district,2400460,7249341788
12037,telangana,2021,2,mahabubabad district,3894628,9057754917
12038,telangana,2021,2,sangareddy district,14851128,28799723417
12039,telangana,2021,2,wanaparthy district,2603925,6670336829
12040,telangana,2021,2,vikarabad district,3556227,7761185954
12041,telangana,2021,2,jagtial district,4428112,12612225821
12042,telangana,2021,2,yadadri bhuvanagiri district,5848194,13244058904
12043,telangana,2021,2,medak district,3415198,7629372344
12044,telangana,2021,2,mahbubnagar district,5064194,11391442175
12045,telangana,2021,2,jaya shankar bhalupally district,2675877,6859770059
12046,telangana,2021,2,warangal urban district,15534189,35324332007
12047,telangana,2021,2,rangareddy district,63155281,1.13987E+11
12048,telangana,2021,2,hyderabad district,212326623,4.24873E+11
12049,telangana,2021,2,suryapet district,6058271,15856636127
12050,telangana,2021,2,jogulamba gadwal district,2339787,6421818499
12051,telangana,2021,2,kamareddy district,3927221,10042472983
12052,telangana,2021,2,mulugu district,1462923,4115582610
12053,telangana,2021,2,medchal malkajgiri district,58755991,1.02864E+11
12054,telangana,2021,2,karimnagar district,8548354,20534233591
12055,telangana,2021,2,mancherial district,6439833,13999260363
12056,telangana,2021,2,siddipet district,6647863,15903147261
12057,telangana,2021,2,khammam district,9096326,23771340185
12058,telangana,2021,3,narayanpet district,1866231,4774940526
12059,telangana,2021,3,nalgonda district,11844124,26760618928
12060,telangana,2021,3,jangaon district,4543161,9323782160
12061,telangana,2021,3,bhadradri kothagudem district,8176066,18135807093
12062,telangana,2021,3,warangal rural district,4443014,9287949664
12063,telangana,2021,3,kumuram bheem asifabad district,2106478,3942987887
12064,telangana,2021,3,nizamabad district,9331288,22809748582
12065,telangana,2021,3,adilabad district,2630821,5478367907
