,states,year,quarter,district,trans_counts,amount
147,andhra-pradesh,2020,1,spsr nellore,7430247,15387829694
148,andhra-pradesh,2020,1,prakasam,6318396,14169104765
149,andhra-pradesh,2020,1,ysr,6031255,14059924637
150,andhra-pradesh,2020,2,visakhapatnam,25300401,48293889917
151,andhra-pradesh,2020,2,chittoor,14848197,27361300300
152,andhra-pradesh,2020,2,east godavari,13130334,26319906327
153,andhra-pradesh,2020,2,krishna,12313709,26964149095
154,andhra-pradesh,2020,2,guntur,12308707,27463593608
155,andhra-pradesh,2020,2,anantapur,10473739,22094006659
156,andhra-pradesh,2020,2,kurnool,9821381,22419372062
157,andhra-pradesh,2020,2,spsr nellore,9454274,20665376461
158,andhra-pradesh,2020,2,prakasam,8844580,19846026727
159,andhra-pradesh,2020,2,ysr,8033609,19597207268
160,andhra-pradesh,2020,3,visakhapatnam,34421299,67628440368
161,andhra-pradesh,2020,3,chittoor,20501863,42811566246
162,andhra-pradesh,2020,3,krishna,19110457,44788458672
163,andhra-pradesh,2020,3,east godavari,17972431,39300043805
164,andhra-pradesh,2020,3,guntur,17601395,42531195810
165,andhra-pradesh,2020,3,spsr nellore,16468209,39128324534
166,andhra-pradesh,2020,3,anantapur,14447683,34102037973
167,andhra-pradesh,2020,3,kurnool,13243292,32529351107
168,andhra-pradesh,2020,3,prakasam,12266310,31221704852
169,andhra-pradesh,2020,3,ysr,11934653,32037007334
170,andhra-pradesh,2020,4,visakhapatnam,46551467,91879823025
171,andhra-pradesh,2020,4,chittoor,29590411,61505711150
172,andhra-pradesh,2020,4,krishna,27981050,64461504668
173,andhra-pradesh,2020,4,guntur,26136538,60641872021
174,andhra-pradesh,2020,4,east godavari,25989490,58732615663
175,andhra-pradesh,2020,4,anantapur,20996384,49732610814
176,andhra-pradesh,2020,4,spsr nellore,20934374,49115443663
177,andhra-pradesh,2020,4,kurnool,18737323,44718203115
178,andhra-pradesh,2020,4,prakasam,16176867,41852443494
179,andhra-pradesh,2020,4,ysr,15676878,42572974713
180,andhra-pradesh,2021,1,visakhapatnam,48248923,95308386038
